,Major,Minor,ZipCode,DocumentDate,SalePrice,SqFtLot,SqFtTotLiving,Nuisances,Has_Nuisance,TrafficNoise,PowerLines,OtherNuisances,Is_WaterFrontLocation,WaterFrontLocation,Has_Porch,Has_OpenPorch,Has_EnclosedPorch,View_MtRainier,View_Olympics,View_Cascades,SeattleSkyline,View_PugetSound,View_LakeWashington,View_LakeSammamish,View_SmallLakeRiverCreek,BldgGrade,Has_Deck,Has_Finished_Basement,Has_Attached_Garage
966409,760,151,98144,2019-04-24,3050000,489,1280,No Nuisances,0,0,0,0,0,None,1,0,1,0,0,0,0,0,0,0,0,7.0,1,1,0
925569,900,50,98115,2019-07-09,1420000,3811,3650,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,0,1,0
217554,1000,4,98116,2019-04-11,813000,6900,1720,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0
83432,1000,23,98116,2019-06-19,520000,5750,1100,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,4.0,1,1,0
152557,1120,100,98007,2019-05-31,861000,3024,1530,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
38845,1150,200,98052,2019-03-21,1270000,8315,3030,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,8.0,0,0,1
731665,1150,1010,98052,2019-04-19,990000,8053,2430,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,8.0,0,0,1
658927,1150,490,98052,2019-06-28,1150000,10072,2500,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,8.0,1,0,1
308916,1150,30,98052,2019-07-23,1220000,12237,2960,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,1
136674,1150,330,98052,2019-08-26,950000,7873,2390,No Nuisances,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,8.0,1,0,1
401279,1151,520,98052,2019-05-08,1104000,9002,2720,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,8.0,0,1,1
323062,1152,200,98052,2019-07-31,1199000,13122,3020,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,0,1,0
472806,1152,640,98052,2019-09-19,1180000,10450,3010,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,7.0,0,0,1
992365,1190,20,98042,2019-02-13,440000,4800,2280,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
365812,1190,70,98042,2019-05-23,468000,5069,2380,No Nuisances,0,0,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
982368,1190,240,98042,2019-06-13,495000,7098,2410,Traffic Noise,1,1,0,0,0,None,1,1,0,0,0,0,0,0,0,0,0,6.0,0,0,1
