,Major,Minor,PropType,SqFtLot,SalePrice,DocumentDate,NbrLivingUnits,SqFtTotLiving,Has_Porch,Nuisances,WaterFrontLocation,Is_WaterFrontLocation,Has_Nuisance
89,4000,821,R,13802,1175000,2019-03-27,1,2500,0,Traffic Noise,None,0,1
90,4000,228,R,6725,369000,2019-04-26,1,1560,0,Traffic Noise,None,0,1
91,4000,236,R,7663,194513,2019-07-09,1,2130,0,No Nuisances,None,0,0
92,4000,1071,R,10246,499000,2019-10-02,1,2720,1,No Nuisances,None,0,0
93,4000,681,R,11730,880000,2019-10-08,1,4470,0,No Nuisances,None,0,0
94,4000,7,R,8631,365950,2019-10-09,1,1130,0,No Nuisances,None,0,0
95,4000,1072,R,15914,412000,2019-10-29,1,1800,0,Other Nuisances,None,0,1
96,4000,615,R,39186,607000,2019-11-26,1,1690,1,No Nuisances,None,0,0
97,4000,566,R,39260,500000,2019-12-04,1,1250,1,Traffic Noise,None,0,1
98,4100,460,R,6000,450000,2019-01-11,1,1860,0,Other Nuisances,None,0,1
99,4100,250,R,10080,366000,2019-12-05,1,770,0,No Nuisances,None,0,0
100,4200,146,R,21786,949000,2019-02-25,1,5160,1,No Nuisances,None,0,0
101,4200,143,R,15893,869000,2019-04-04,1,5160,1,No Nuisances,None,0,0
102,4200,226,R,9090,549000,2019-11-22,1,1600,0,No Nuisances,None,0,0
103,4200,48,R,49608,422000,2019-11-26,1,790,0,No Nuisances,None,0,0
104,4200,66,R,15680,421900,2019-12-09,1,1700,1,No Nuisances,None,0,0
105,4300,224,R,13950,522500,2019-02-15,1,2280,1,Traffic Noise,None,0,1
106,4610,209,R,65956,3730000,2019-05-28,1,4620,1,No Nuisances,None,0,0
107,4900,36,R,8040,528000,2019-01-23,1,1290,0,No Nuisances,None,0,0
108,5030,160,R,8872,495000,2019-04-22,1,3000,1,No Nuisances,None,0,0
109,5030,380,R,8961,500000,2019-05-14,1,2180,1,No Nuisances,None,0,0
110,5100,220,R,13125,445000,2019-04-16,1,2670,0,No Nuisances,None,0,0
111,5100,130,R,12000,295000,2019-07-09,1,2020,0,No Nuisances,None,0,0
112,5330,290,R,5362,647950,2019-01-01,1,2487,1,No Nuisances,None,0,0
113,5330,380,R,4000,642950,2019-01-01,1,2487,1,No Nuisances,None,0,0
114,5330,270,R,5618,654950,2019-01-01,1,2487,1,No Nuisances,None,0,0
115,5330,360,R,4000,639950,2019-01-16,1,2487,1,No Nuisances,None,0,0
116,5330,470,R,4186,725000,2019-01-22,1,3432,1,No Nuisances,None,0,0
117,5330,50,R,4844,669950,2019-02-01,1,3322,1,Traffic Noise,None,0,1
118,5330,350,R,4000,664950,2019-02-01,1,2525,1,No Nuisances,None,0,0
119,5330,340,R,4000,642950,2019-02-05,1,2487,1,No Nuisances,None,0,0
120,5330,430,R,4000,702500,2019-02-06,1,3432,1,No Nuisances,None,0,0
121,5330,310,R,4054,667950,2019-03-01,1,2525,1,No Nuisances,None,0,0
122,5330,450,R,4000,724950,2019-03-01,1,3432,1,No Nuisances,None,0,0
123,5330,330,R,4207,667950,2019-03-01,1,2525,1,No Nuisances,None,0,0
124,5330,10,R,6735,729950,2019-04-11,1,3188,1,Traffic Noise,None,0,1
125,5330,440,R,4000,699950,2019-05-06,1,3322,1,No Nuisances,None,0,0
126,5330,460,R,4000,699950,2019-05-14,1,3322,1,No Nuisances,None,0,0
127,5330,220,R,5693,669950,2019-10-01,1,2487,1,No Nuisances,None,0,0
128,5330,200,R,5000,759950,2019-10-01,1,3054,1,No Nuisances,None,0,0
129,5330,230,R,5400,699950,2019-10-22,1,2525,1,No Nuisances,None,0,0
130,5330,370,R,4000,685000,2019-10-23,1,2525,1,No Nuisances,None,0,0
131,5330,190,R,4000,669950,2019-10-28,1,2487,1,No Nuisances,None,0,0
132,5330,170,R,5461,794950,2019-10-28,1,3188,0,No Nuisances,None,0,0
133,5330,70,R,4781,676000,2019-10-29,1,3322,1,Traffic Noise,None,0,1
134,5330,300,R,5859,779950,2019-10-29,1,3054,1,No Nuisances,None,0,0
135,5330,180,R,4100,690000,2019-10-29,1,2525,1,No Nuisances,None,0,0
136,5331,350,R,5400,789950,2019-06-01,1,3188,1,No Nuisances,None,0,0
137,5331,380,R,4320,687950,2019-06-01,1,2525,1,No Nuisances,None,0,0
138,5331,90,R,4320,649950,2019-06-04,1,2487,1,No Nuisances,None,0,0
139,5331,410,R,4246,647950,2019-06-21,1,2487,1,No Nuisances,None,0,0
140,5331,400,R,4320,667950,2019-06-21,1,2525,1,No Nuisances,None,0,0
141,5331,140,R,4320,684950,2019-07-01,1,2525,1,No Nuisances,None,0,0
142,5331,10,R,4524,734950,2019-07-01,1,3432,1,No Nuisances,None,0,0
143,5331,110,R,4320,642950,2019-07-01,1,2487,1,No Nuisances,None,0,0
144,5331,100,R,4320,674950,2019-07-01,1,2525,1,No Nuisances,None,0,0
145,5331,130,R,4320,645950,2019-07-02,1,2487,1,No Nuisances,None,0,0
146,5331,120,R,4320,684950,2019-07-03,1,2525,1,No Nuisances,None,0,0
147,5331,370,R,5400,770950,2019-07-05,1,3188,1,No Nuisances,None,0,0
148,5331,360,R,5400,769950,2019-08-01,1,3054,1,No Nuisances,None,0,0
149,5331,170,R,4320,659950,2019-08-01,1,2487,1,No Nuisances,None,0,0
150,5331,20,R,4033,720000,2019-08-01,1,3322,1,No Nuisances,None,0,0
151,5331,150,R,4320,645950,2019-08-01,1,2487,1,No Nuisances,None,0,0
152,5331,390,R,5400,789950,2019-08-02,1,3188,1,No Nuisances,None,0,0
153,5331,30,R,4646,739950,2019-08-02,1,3432,1,No Nuisances,None,0,0
154,5331,180,R,5944,694108,2019-08-05,1,2525,1,No Nuisances,None,0,0
155,5331,160,R,4320,699950,2019-08-05,1,2525,1,No Nuisances,None,0,0
156,5331,40,R,4448,724950,2019-08-06,1,3322,1,No Nuisances,None,0,0
157,5331,50,R,4320,724950,2019-08-07,1,3432,1,No Nuisances,None,0,0
158,5331,190,R,4649,776950,2019-08-08,1,3188,1,No Nuisances,None,0,0
159,5331,60,R,4320,699950,2019-08-15,1,3322,1,No Nuisances,None,0,0
160,5331,200,R,5503,742950,2019-08-21,1,3054,1,No Nuisances,None,0,0
161,5331,210,R,5504,776950,2019-08-21,1,3188,1,No Nuisances,None,0,0
162,5331,220,R,4403,650950,2019-08-21,1,2487,1,No Nuisances,None,0,0
163,5331,230,R,4404,684950,2019-09-02,1,2525,1,No Nuisances,None,0,0
164,5331,70,R,4320,727950,2019-09-02,1,3432,1,No Nuisances,None,0,0
165,5331,340,R,3920,669950,2019-09-24,1,2487,1,No Nuisances,None,0,0
166,5331,320,R,6150,799950,2019-10-01,1,3188,1,No Nuisances,None,0,0
167,5331,240,R,4404,699950,2019-10-01,1,3432,1,No Nuisances,None,0,0
168,5331,250,R,4405,704950,2019-10-01,1,3322,1,No Nuisances,None,0,0
169,5331,330,R,3920,689950,2019-10-01,1,2525,1,No Nuisances,None,0,0
170,5331,260,R,4405,729950,2019-10-21,1,3432,1,No Nuisances,None,0,0
171,5331,270,R,4406,699950,2019-10-28,1,3322,1,No Nuisances,None,0,0
172,5331,280,R,4406,714950,2019-10-30,1,3432,1,No Nuisances,None,0,0
173,5331,80,R,4320,675000,2019-11-15,1,3432,1,No Nuisances,None,0,0
174,5331,300,R,4491,699950,2019-12-10,1,3432,1,No Nuisances,None,0,0
175,5331,290,R,4407,679950,2019-12-18,1,3322,1,No Nuisances,None,0,0
176,5350,740,R,7385,360000,2019-03-14,1,1600,0,Power Lines,None,0,1
177,5350,280,R,6357,409950,2019-07-18,1,2060,0,Power Lines,None,0,1
178,5350,550,R,4800,410000,2019-07-23,1,2660,1,Power Lines,None,0,1
179,5350,80,R,5236,539900,2019-07-25,1,2780,1,Power Lines,None,0,1
180,5350,710,R,4864,430000,2019-08-28,1,2460,1,Power Lines,None,0,1
181,5350,680,R,5341,430000,2019-11-01,1,2660,1,Power Lines,None,0,1
182,5900,410,R,5000,942500,2019-02-17,1,2020,0,Traffic Noise,None,0,1
183,5900,90,R,5000,935000,2019-02-21,1,1680,0,Traffic Noise,None,0,1
184,5900,201,R,6300,271236,2019-05-02,1,1940,0,No Nuisances,None,0,0
185,5950,100,R,7789,453000,2019-03-03,1,2120,1,No Nuisances,None,0,0
186,6500,365,R,6550,605000,2019-02-21,1,1360,0,No Nuisances,None,0,0
187,6500,265,R,6550,728000,2019-03-14,1,1680,0,No Nuisances,None,0,0
188,6500,230,R,6421,755000,2019-03-22,1,2170,0,No Nuisances,None,0,0
189,6500,180,R,5381,1005000,2019-05-14,1,2710,1,No Nuisances,None,0,0
190,6500,445,R,6275,723935,2019-05-20,1,1600,0,No Nuisances,None,0,0
191,6500,380,R,6441,760000,2019-08-02,1,2120,0,No Nuisances,None,0,0
192,6500,175,R,6585,340000,2019-09-04,1,650,0,No Nuisances,None,0,0
193,6600,470,R,6550,730000,2019-04-11,1,1740,1,No Nuisances,None,0,0
194,6600,45,R,6350,972000,2019-08-07,1,1520,1,No Nuisances,None,0,0
195,6600,475,R,6550,605000,2019-09-23,1,960,1,No Nuisances,None,0,0
196,6600,465,R,6550,705000,2019-09-26,1,2120,0,No Nuisances,None,0,0
197,6600,395,R,6450,167500,2019-10-25,1,2350,1,No Nuisances,None,0,0
198,6600,445,R,6550,720000,2019-12-10,1,1810,0,No Nuisances,None,0,0
199,7200,18,R,1429,440000,2019-09-30,1,580,0,No Nuisances,None,0,0
200,7800,10,R,1108,1300000,2019-10-30,1,1470,0,Traffic Noise,None,0,1
201,8400,171,R,7500,575000,2019-03-12,1,3010,1,Traffic Noise,None,0,1
202,8400,96,R,6665,389950,2019-06-04,1,960,0,No Nuisances,None,0,0
203,8400,210,R,7200,380000,2019-11-06,1,980,0,Traffic Noise,None,0,1
204,8700,327,R,21084,372500,2019-04-26,1,2720,1,Traffic Noise,None,0,1
205,8700,305,R,5649,440000,2019-05-22,1,2140,0,Traffic Noise,None,0,1
206,8700,224,R,11400,395000,2019-07-15,1,910,1,No Nuisances,None,0,0
207,8700,215,R,10500,255000,2019-07-25,1,1150,1,No Nuisances,None,0,0
208,8700,281,R,14254,625000,2019-07-29,1,2550,0,No Nuisances,None,0,0
209,8700,104,R,8896,590000,2019-09-12,1,2910,0,No Nuisances,None,0,0
210,8700,226,R,26000,590000,2019-10-03,1,2050,1,Traffic Noise,None,0,1
211,8700,283,R,7800,585000,2019-10-31,1,1980,1,No Nuisances,None,0,0
212,8800,68,R,6730,490000,2019-03-26,1,1660,1,No Nuisances,None,0,0
213,8800,453,R,10125,212500,2019-04-16,1,1120,1,No Nuisances,None,0,0
214,8800,278,R,5941,725000,2019-06-13,1,2878,1,No Nuisances,None,0,0
215,8800,263,R,7300,675000,2019-06-19,1,2932,1,No Nuisances,None,0,0
216,8800,262,R,7300,675000,2019-07-16,1,2932,1,No Nuisances,None,0,0
217,8800,260,R,8321,685000,2019-07-16,1,3127,1,No Nuisances,None,0,0
218,8800,264,R,7000,690000,2019-07-16,1,3127,1,No Nuisances,None,0,0
219,8800,172,R,4065,505000,2019-09-04,1,2280,1,No Nuisances,None,0,0
220,8800,280,R,8833,698888,2019-09-30,1,2878,1,No Nuisances,None,0,0
221,8800,71,R,13939,132872,2019-10-02,1,1340,1,No Nuisances,None,0,0
222,8800,224,R,8909,999000,2019-10-28,1,3734,1,Traffic Noise,None,0,1
223,8800,279,R,5065,700000,2019-11-21,1,2878,1,No Nuisances,None,0,0
224,8800,480,R,44866,500000,2019-11-25,1,1660,1,No Nuisances,None,0,0
225,9100,335,R,3100,790000,2019-02-13,1,1800,1,No Nuisances,None,0,0
226,9100,135,R,4000,1050000,2019-03-12,1,2060,1,No Nuisances,None,0,0
227,9100,140,R,5000,1675000,2019-06-18,1,3150,1,No Nuisances,None,0,0
228,9800,1050,R,13115,1592500,2019-01-22,1,5290,1,No Nuisances,None,0,0
229,9800,690,R,17063,1260000,2019-01-24,1,3910,1,No Nuisances,None,0,0
230,9800,960,R,16625,1250000,2019-02-07,1,4400,1,No Nuisances,None,0,0
231,9800,950,R,14757,1285500,2019-03-26,1,4140,1,No Nuisances,None,0,0
232,9800,500,R,13696,1250000,2019-05-09,1,4540,1,No Nuisances,None,0,0
233,9800,490,R,13690,1300000,2019-07-15,1,4310,1,No Nuisances,None,0,0
234,9800,460,R,14724,1307000,2019-08-09,1,5220,1,No Nuisances,None,0,0
235,9800,160,R,21720,1740000,2019-08-15,1,5560,1,No Nuisances,None,0,0
236,9800,410,R,16380,1560000,2019-08-22,1,6350,1,No Nuisances,None,0,0
237,9800,340,R,16767,1295000,2019-09-23,1,4580,1,No Nuisances,None,0,0
238,9800,1250,R,14837,1175000,2019-10-05,1,3950,1,No Nuisances,None,0,0
239,9800,780,R,16531,1295000,2019-11-13,1,5210,1,No Nuisances,None,0,0
240,9800,940,R,16550,1178000,2019-12-03,1,4870,0,No Nuisances,None,0,0
241,9800,1170,R,15783,1380000,2019-12-12,1,4840,0,No Nuisances,None,0,0
242,9802,680,R,8520,1225000,2019-04-23,1,4080,1,No Nuisances,None,0,0
243,9802,240,R,9482,949000,2019-06-25,1,3470,1,No Nuisances,None,0,0
244,9802,320,R,7447,1017500,2019-07-30,1,3490,1,No Nuisances,None,0,0
245,9803,320,R,7339,1025000,2019-05-06,1,3480,1,No Nuisances,None,0,0
246,9803,50,R,9757,1015000,2019-12-27,1,3780,1,No Nuisances,None,0,0
247,9830,200,R,129003,1320000,2019-11-18,1,4020,1,No Nuisances,None,0,0
248,9830,30,R,126925,1625000,2019-12-17,1,4780,1,No Nuisances,None,0,0
